Classifier,Fold,Accuracy,Precision (B),Precision (M),Recall (B),Recall (M),F-score (B),F-score (M),CV Score,Average CV Score,New CV score (1),New CV score (2),New CV score (3),New CV score (4),New CV score (5),New CV score (6),New CV score (7),New CV score (8),New CV score (9),New CV score (10)
Decision Tree Classifier,1,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8461538461538461,0.9102564102564102,0.94230769,0.92307692,0.88235294,0.90196078,0.88235294,0.94117647,0.90196078,0.88235294,0.90196078,0.90196078
Decision Tree Classifier,2,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8269230769230769,0.9278657616892911,0.96153846,0.96153846,0.92156863,0.90196078,0.8627451,0.98039216,0.88235294,0.94117647,0.84313725,0.90196078
Decision Tree Classifier,3,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9061840120663651,0.92307692,0.84615385,0.94117647,0.84313725,0.92156863,0.96078431,0.92156863,0.92156863,0.90196078,0.90196078
Decision Tree Classifier,4,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9024886877828054,0.90384615,0.94230769,0.90196078,0.94117647,0.94117647,0.90196078,0.8627451,0.8627451,0.88235294,0.88235294
Decision Tree Classifier,5,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9100301659125188,0.90384615,1,0.8627451,0.98039216,0.90196078,0.82352941,0.98039216,0.90196078,0.92156863,0.88235294
Decision Tree Classifier,6,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9044494720965309,0.94230769,0.98076923,0.88235294,0.88235294,0.90196078,0.98039216,0.96078431,0.92156863,0.88235294,0.92156863
Decision Tree Classifier,7,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8823529411764706,0.9179864253393666,0.88461538,0.88461538,0.90196078,0.98039216,0.90196078,0.94117647,0.8627451,0.98039216,0.94117647,0.92156863
Decision Tree Classifier,8,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9063348416289593,0.94230769,0.88461538,0.90196078,0.88235294,0.90196078,0.94117647,0.8627451,0.90196078,0.92156863,0.92156863
Decision Tree Classifier,9,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8431372549019608,0.9081447963800906,0.84615385,0.98076923,0.94117647,0.92156863,0.92156863,0.92156863,0.92156863,0.90196078,0.92156863,0.88235294
Decision Tree Classifier,10,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9141025641025642,0.94230769,0.88461538,0.92156863,0.92156863,0.94117647,0.98039216,0.8627451,0.88235294,0.90196078,0.88235294
Random Forest Classifier,1,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9230769230769231,0.9571266968325792,0.98076923,0.96153846,1,0.88235294,0.96078431,0.96078431,0.96078431,0.88235294 ,1,0.98039216
Random Forest Classifier,2,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9615384615384616,0.9511689291101055,0.96153846,0.90384615,0.98039216,0.96078431,0.90196078,0.96078431,0.96078431,0.94117647,0.96078431,0.98039216
Random Forest Classifier,3,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9215686274509803,0.9550904977375565,0.98076923,0.98076923,0.96078431,0.94117647,0.98039216,0.98039216,0.94117647,0.96078431,0.90196078,0.98039216
Random Forest Classifier,4,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9803921568627451,0.9609728506787331,0.98076923,0.96153846,0.92156863,0.90196078,1,0.96078431,0.92156863,0.98039216,0.96078431,0.96078431
Random Forest Classifier,5,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9019607843137255,0.9550904977375565,0.94230769,0.90384615,0.96078431,0.94117647,0.94117647,0.96078431,0.98039216,0.94117647,0.94117647,0.94117647
Random Forest Classifier,6,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9607843137254902,0.9588612368024132,0.90384615,0.94230769,0.92156863,0.94117647,0.96078431,0.96078431,0.96078431,0.92156863,0.98039216,0.98039216
Random Forest Classifier,7,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,1,0.9512443438914028,0.90384615,0.96153846,0.92156863,0.96078431,0.90196078,0.98039216,1,0.98039216,0.98039216,0.96078431
Random Forest Classifier,8,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.8823529411764706,0.9510558069381598,0.94230769,0.94230769,0.90196078,0.94117647,0.98039216,0.90196078,0.94117647,0.96078431,0.98039216,1
Random Forest Classifier,9,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9607843137254902,0.953129713423831,0.98076923,0.98076923,0.96078431,0.96078431,0.90196078,0.96078431,0.98039216,0.96078431,0.98039216,0.94117647
Random Forest Classifier,10,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9607843137254902,0.9530165912518853,0.94230769,1,0.98039216,0.98039216,0.94117647,0.94117647,0.96078431,0.94117647,0.96078431,0.96078431
ADABoost Classifier,1,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9615384615384616,0.9511689291101055,0.94230769,0.96153846,0.92156863,0.84313725,0.90196078,0.96078431,0.82352941,0.94117647,0.96078431,0.90196078
ADABoost Classifier,2,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9423076923076923,0.9394042232277526,0.94230769,0.96153846,0.92156863,0.92156863,0.94117647,0.90196078,0.88235294,0.84313725,0.90196078,0.94117647
ADABoost Classifier,3,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9511689291101055,0.84615385,0.88461538,0.88235294,0.92156863,0.96078431,0.90196078,0.88235294,0.82352941,0.90196078,0.90196078
ADABoost Classifier,4,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9394796380090498,0.90384615,0.94230769,0.94117647,0.90196078,0.92156863,0.96078431,0.88235294,0.90196078,0.94117647,0.88235294
ADABoost Classifier,5,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9607843137254902,0.9512066365007541,0.82692308,0.96153846,0.88235294,0.92156863,0.94117647,0.90196078,0.96078431,0.98039216,0.94117647,0.92156863
ADABoost Classifier,6,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9453996983408748,0.94230769,0.88461538,0.96078431,0.94117647,0.88235294,0.96078431,0.94117647,0.8627451,0.94117647,0.96078431
ADABoost Classifier,7,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9472473604826546,0.88461538,0.88461538,0.88235294,0.94117647,0.90196078,0.94117647,0.82352941,0.90196078,0.96078431,0.94117647
ADABoost Classifier,8,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9803921568627451,0.9551282051282051,0.90384615,0.86538462,0.92156863,0.92156863,0.96078431,0.90196078,0.96078431,0.98039216,0.94117647,0.88235294
ADABoost Classifier,9,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9607843137254902,0.9414027149321267,0.94230769,0.94230769,0.90196078,0.8627451,0.92156863,0.96078431,0.92156863,0.88235294,0.8627451,0.94117647
ADABoost Classifier,10,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9607843137254902,0.9453619909502262,0.94230769,0.92307692,0.90196078,0.96078431,0.92156863,0.94117647,0.88235294,0.94117647,0.92156863,0.90196078
Gaussian Naïve-Bayes,1,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9423076923076923,0.9159879336349925,0.86538462,0.94230769,0.96078431,0.90196078,0.92156863,0.88235294,0.82352941,0.82352941,0.90196078,0.92156863
Gaussian Naïve-Bayes,2,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9038461538461539,0.9160256410256411,0.90384615,0.90384615,0.88235294,0.94117647,0.8627451,0.84313725,0.90196078,0.90196078,0.94117647,0.88235294
Gaussian Naïve-Bayes,3,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.917948717948718,0.92307692,0.92307692,0.90196078,0.94117647,0.80392157,0.96078431,0.90196078,0.92156863,0.82352941,0.84313725
Gaussian Naïve-Bayes,4,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8823529411764706,0.9160633484162896,0.94230769,0.84615385,0.88235294,0.90196078,0.90196078,0.88235294,0.92156863,0.96078431,0.92156863,0.84313725
Gaussian Naïve-Bayes,5,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9080316742081449,0.84615385,0.90384615,0.88235294,0.90196078,0.92156863,0.92156863,0.90196078,0.98039216,0.96078431,0.84313725
Gaussian Naïve-Bayes,6,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9119909502262444,0.92307692,0.92307692,0.90196078,0.96078431,0.8627451,0.82352941,0.88235294,0.94117647,0.8627451,0.96078431
Gaussian Naïve-Bayes,7,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9102941176470589,0.88461538,0.96153846,0.92156863,0.92156863,0.8627451,0.94117647,0.90196078,0.80392157,0.90196078,0.90196078
Gaussian Naïve-Bayes,8,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9607843137254902,0.9082956259426848,0.84615385,0.86538462,0.90196078,0.92156863,0.92156863,0.90196078,0.90196078,0.92156863,0.94117647,0.90196078
Gaussian Naïve-Bayes,9,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9101809954751131,0.90384615,0.84615385,0.90196078,0.92156863,0.82352941,0.90196078,0.92156863,0.98039216,0.90196078, 0.88235294
Gaussian Naïve-Bayes,10,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9102941176470589,0.94230769,0.84615385,0.8627451,0.8627451,0.94117647,0.96078431,0.8627451,0.90196078,0.90196078,0.8627451
XGBoost Classifier,1,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9565217391304348,0.9434782608695652,0.95744681,1,1,0.95652174,0.95652174,0.95652174,0.95652174,0.93478261,0.93478261,0.97826087
XGBoost Classifier,2,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.941304347826087,0.9630434782608696,0.95744681,0.95652174,0.93478261,0.93478261,0.95652174,0.97826087,0.95652174,0.95652174,0.95652174,1
XGBoost Classifier,3,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9479648473635522,0.9609158186864015,1,0.95652174,0.97826087,0.97826087,0.95652174,0.97826087,0.95652174,0.97826087,0.91304348,0.93478261
XGBoost Classifier,4,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.95,0.9588806660499538,0.93617021,0.95652174,0.93478261,1,1,0.95652174,0.93478261,0.91304348,0.97826087,0.93478261
XGBoost Classifier,5,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9500925069380202,0.9435245143385753,0.93617021,0.93478261,0.97826087,0.97826087,0.95652174,1,0.95652174,0.93478261,0.97826087,0.95652174
XGBoost Classifier,6,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9609158186864015,0.9524051803885291,0.95744681,0.97826087,0.95652174,0.91304348,0.97826087,0.93478261,0.95652174,0.93478261,0.95652174,0.97826087
XGBoost Classifier,7,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9435707678075855,0.9500925069380204,0.95744681,0.93478261,0.95652174,0.89130435,0.97826087,0.95652174,1,0.93478261,0.95652174,0.95652174
XGBoost Classifier,8,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9609620721554117,0.9588344125809437,0.91489362,0.95652174,0.93478261,0.95652174,0.97826087,0.97826087,0.91304348,0.91304348,0.97826087,0.95652174
XGBoost Classifier,9,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9610545790934321,0.9565217391304348,0.9787234,1,0.95652174,0.89130435,0.97826087,0.97826087,0.97826087,0.95652174,0.95652174,0.97826087
XGBoost Classifier,10,0.9607843137254902,0.96875,0.94736842,0.96875,0.94736842,0.96875,0.94736842,0.9567067530064757,0.9566142460684551,0.95744681,0.95652174,0.97826087,0.97826087,0.95652174,0.93478261,0.93478261,0.97826087,0.93478261,0.95652174